ts_event,open,high,low,close,volume
238 ,"2,096,000","2,107,000","2,095,000","2,104,000","60,581"
239 ,"2,104,000","2,128,000","2,103,000","2,114,000","137,726"
240 ,"2,114,000","2,117,000","2,101,000","2,113,000","80,681"
241 ,"2,113,000","2,116,000","2,082,000","2,095,000","113,273"
242 ,"2,096,000","2,098,000","2,081,000","2,082,000","78,858"
243 ,"2,082,000","2,094,000","2,072,000","2,079,000","84,246"
244 ,"2,080,000","2,104,000","2,072,000","2,090,000","84,512"
245 ,"2,090,000","2,104,000","2,089,000","2,100,000","71,484"
246 ,"2,100,000","2,101,000","2,087,000","2,095,000","66,378"
247 ,"2,096,000","2,096,000","2,075,000","2,076,000","100,714"
248 ,"2,076,000","2,105,000","2,075,000","2,102,000","162,220"
249 ,"2,101,000","2,101,000","2,101,000","2,101,000","1,369,247"
250 ,"2,109,000","2,121,000","2,101,000","2,110,000","90,661"
251 ,"2,110,000","2,119,000","2,108,000","2,119,000","37,766"
252 ,"2,119,000","2,120,000","2,108,000","2,113,000","29,122"
253 ,"2,113,000","2,115,000","2,110,000","2,114,000","11,937"
254 ,"2,113,000","2,120,000","2,111,000","2,114,000","26,641"
255 ,"2,115,000","2,125,000","2,114,000","2,123,000","36,958"
256 ,"2,123,000","2,130,000","2,118,000","2,128,000","38,543"
257 ,"2,128,000","2,129,000","2,124,000","2,128,000","20,278"
258 ,"2,128,000","2,143,000","2,127,000","2,141,000","59,816"
259 ,"2,141,000","2,149,000","2,136,000","2,143,000","61,030"
260 ,"2,144,000","2,149,000","2,143,000","2,147,000","31,837"
261 ,"2,146,000","2,148,000","2,142,000","2,143,000","30,295"
262 ,"2,142,000","2,145,000","2,133,000","2,133,000","33,894"
263 ,"2,133,000","2,140,000","2,128,000","2,134,000","37,197"
264 ,"2,134,000","2,140,000","2,128,000","2,137,000","21,847"
265 ,"2,137,000","2,138,000","2,127,000","2,129,000","22,579"
266 ,"2,130,000","2,133,000","2,117,000","2,131,000","35,806"
267 ,"2,130,000","2,134,000","2,130,000","2,130,000","12,174"
268 ,"2,130,000","2,131,000","2,118,000","2,125,000","25,044"
269 ,"2,125,000","2,133,000","2,125,000","2,132,000","12,515"
270 ,"2,131,000","2,134,000","2,131,000","2,134,000","11,901"
271 ,"2,133,000","2,140,000","2,133,000","2,139,000","19,798"
272 ,"2,139,000","2,144,000","2,139,000","2,143,000","26,968"
273 ,"2,144,000","2,144,000","2,137,000","2,138,000","28,389"
274 ,"2,138,000","2,140,000","2,135,000","2,139,000","30,072"
275 ,"2,139,000","2,140,000","2,134,000","2,138,000","62,488"
276 ,"2,278,000","2,346,000","2,258,000","2,291,000","591,836"
277 ,"2,291,000","2,291,000","2,274,000","2,286,000","175,187"
278 ,"2,286,000","2,286,000","2,267,000","2,272,000","129,151"
279 ,"2,270,000","2,291,000","2,267,000","2,287,000","136,206"
280 ,"2,287,000","2,301,000","2,284,000","2,295,000","169,080"
281 ,"2,281,000","2,296,000","2,270,000","2,283,000","552,931"
282 ,"2,283,500","2,304,000","2,277,000","2,279,000","433,156"
283 ,"2,279,000","2,290,000","2,261,000","2,288,000","319,982"
284 ,"2,289,000","2,295,000","2,283,000","2,285,000","147,226"
285 ,"2,285,000","2,294,000","2,279,000","2,283,000","162,422"
286 ,"2,283,000","2,292,000","2,274,000","2,282,000","128,912"
287 ,"2,282,000","2,289,000","2,275,000","2,286,000","114,733"
288 ,"2,286,000","2,287,000","2,263,000","2,264,000","110,492"
289 ,"2,263,000","2,282,000","2,250,000","2,255,000","185,720"
290 ,"2,254,000","2,272,000","2,254,000","2,257,000","124,854"
291 ,"2,257,000","2,267,000","2,241,000","2,265,000","138,939"
292 ,"2,265,000","2,274,000","2,261,000","2,265,000","92,264"
293 ,"2,265,000","2,272,000","2,259,000","2,269,000","80,483"
294 ,"2,269,000","2,272,000","2,262,000","2,271,000","82,392"
295 ,"2,271,000","2,272,000","2,261,000","2,262,000","60,017"
296 ,"2,262,000","2,269,000","2,252,000","2,267,000","99,962"
297 ,"2,267,000","2,270,000","2,262,000","2,269,000","50,692"
298 ,"2,268,000","2,276,000","2,266,000","2,274,000","83,555"
299 ,"2,275,000","2,278,000","2,268,000","2,276,000","56,005"
300 ,"2,276,000","2,278,000","2,265,000","2,266,000","51,462"
301 ,"2,267,000","2,274,000","2,264,000","2,271,000","55,616"
302 ,"2,270,000","2,276,000","2,268,000","2,275,000","58,821"
303 ,"2,275,000","2,278,000","2,271,500","2,277,000","56,505"
304 ,"2,276,000","2,282,000","2,274,000","2,279,000","88,212"
305 ,"2,279,000","2,280,000","2,272,000","2,277,000","55,089"
306 ,"2,277,000","2,284,000","2,276,000","2,281,000","90,221"
307 ,"2,281,000","2,290,000","2,278,000","2,289,000","114,546"
308 ,"2,289,000","2,293,000","2,286,000","2,290,000","96,932"
309 ,"2,290,000","2,295,000","2,289,000","2,294,000","89,383"
310 ,"2,294,000","2,297,000","2,287,000","2,295,000","119,646"
311 ,"2,295,000","2,296,000","2,273,000","2,275,000","105,030"
312 ,"2,275,000","2,287,000","2,274,000","2,285,000","76,416"
313 ,"2,284,000","2,286,000","2,275,000","2,278,000","65,150"
314 ,"2,279,000","2,279,000","2,193,000","2,218,000","245,082"
315 ,"2,218,000","2,239,000","2,185,000","2,189,000","304,765"
316 ,"2,189,000","2,217,000","2,164,000","2,176,000","365,718"
317 ,"2,176,000","2,204,000","2,174,000","2,187,000","346,681"
318 ,"2,187,000","2,200,000","2,180,000","2,180,000","280,454"
319 ,"2,150,000","2,150,000","2,150,000","2,150,000","655,637"
320 ,"2,150,000","2,155,000","2,114,000","2,119,000","301,238"
321 ,"2,120,000","2,140,000","2,116,000","2,140,000","119,237"
322 ,"2,140,000","2,150,000","2,131,000","2,145,000","89,011"
323 ,"2,145,000","2,146,000","2,120,000","2,127,000","57,428"
324 ,"2,127,000","2,137,000","2,125,000","2,125,000","36,246"
325 ,"2,125,000","2,142,000","2,125,000","2,142,000","37,532"
326 ,"2,142,000","2,148,000","2,133,000","2,146,000","49,455"
327 ,"2,147,000","2,150,000","2,145,000","2,150,000","33,475"
328 ,"2,149,000","2,158,000","2,149,000","2,157,000","60,965"
329 ,"2,156,000","2,167,000","2,149,000","2,166,000","72,640"
330 ,"2,166,000","2,178,000","2,163,000","2,169,000","63,830"
331 ,"2,169,000","2,174,000","2,160,000","2,163,000","30,816"
332 ,"2,164,000","2,167,000","2,161,000","2,167,000","16,221"
333 ,"2,167,000","2,174,000","2,165,000","2,168,000","21,792"
334 ,"2,168,000","2,174,000","2,166,000","2,172,000","16,173"
335 ,"2,172,000","2,175,000","2,165,000","2,175,000","22,477"
336 ,"2,174,000","2,177,000","2,172,000","2,175,000","20,333"
337 ,"2,175,000","2,191,000","2,175,000","2,190,000","45,595"
338 ,"2,191,000","2,191,000","2,180,000","2,190,000","26,243"
339 ,"2,190,000","2,191,000","2,185,000","2,186,000","21,402"
340 ,"2,186,000","2,186,000","2,180,000","2,186,000","19,318"
341 ,"2,186,000","2,186,000","2,168,000","2,175,000","34,849"
342 ,"2,175,000","2,176,000","2,158,000","2,159,000","38,267"
343 ,"2,159,000","2,170,000","2,157,000","2,163,000","38,651"
344 ,"2,164,000","2,173,000","2,160,000","2,172,000","33,227"
345 ,"2,171,000","2,172,000","2,161,000","2,162,000","76,825"
346 ,"2,265,000","2,304,000","2,250,000","2,269,000","323,441"
347 ,"2,269,000","2,270,000","2,252,000","2,259,000","119,533"
348 ,"2,259,000","2,269,000","2,257,000","2,257,000","54,254"
349 ,"2,257,000","2,269,000","2,257,000","2,268,000","53,812"
350 ,"2,269,000","2,291,000","2,268,000","2,282,000","125,661"
351 ,"2,283,000","2,296,000","2,265,000","2,284,000","487,585"
352 ,"2,284,000","2,304,000","2,283,000","2,293,000","397,654"
353 ,"2,293,500","2,315,000","2,293,000","2,312,000","350,726"
354 ,"2,312,000","2,322,000","2,306,000","2,312,000","231,594"
355 ,"2,312,000","2,313,000","2,294,000","2,304,000","206,233"
356 ,"2,304,000","2,314,000","2,301,000","2,313,000","109,181"
357 ,"2,313,000","2,317,000","2,305,000","2,311,000","99,408"
358 ,"2,311,000","2,312,000","2,295,000","2,297,000","121,651"
359 ,"2,297,000","2,312,000","2,294,000","2,311,000","105,181"
360 ,"2,310,000","2,311,000","2,279,000","2,288,000","166,490"
361 ,"2,288,000","2,291,000","2,280,000","2,288,000","90,513"
362 ,"2,288,000","2,292,000","2,270,000","2,275,000","116,494"
363 ,"2,275,000","2,280,000","2,266,000","2,279,000","94,184"
364 ,"2,279,000","2,281,000","2,266,000","2,271,000","77,553"
365 ,"2,271,000","2,290,000","2,271,000","2,289,000","72,633"
366 ,"2,289,000","2,292,000","2,283,000","2,290,000","56,367"
367 ,"2,289,000","2,291,000","2,285,000","2,287,000","36,634"
368 ,"2,288,000","2,294,000","2,285,000","2,290,000","49,952"
369 ,"2,289,000","2,299,000","2,288,000","2,295,000","58,694"
370 ,"2,296,000","2,299,000","2,294,000","2,296,000","46,896"
371 ,"2,297,000","2,301,000","2,295,000","2,301,000","87,623"
372 ,"2,301,000","2,301,000","2,288,000","2,288,000","52,714"
373 ,"2,288,000","2,300,000","2,286,000","2,298,000","55,056"
374 ,"2,298,500","2,299,000","2,291,000","2,298,000","46,555"
375 ,"2,297,000","2,305,000","2,292,000","2,304,000","95,884"
376 ,"2,304,000","2,310,000","2,302,000","2,310,000","89,777"
377 ,"2,310,000","2,312,000","2,305,000","2,311,000","89,851"
378 ,"2,312,000","2,312,000","2,300,000","2,306,000","64,326"
379 ,"2,306,000","2,309,000","2,302,000","2,307,000","46,743"
380 ,"2,308,000","2,310,000","2,300,000","2,308,000","61,704"
381 ,"2,308,000","2,309,000","2,295,000","2,304,000","74,401"
382 ,"2,303,000","2,308,000","2,302,000","2,307,000","51,604"
383 ,"2,306,000","2,308,000","2,301,000","2,302,000","47,466"
384 ,"2,303,000","2,305,000","2,280,000","2,283,000","141,367"
385 ,"2,282,000","2,292,500","2,281,000","2,289,000","80,676"
386 ,"2,289,000","2,290,000","2,279,000","2,288,000","89,575"
387 ,"2,288,000","2,300,000","2,282,000","2,296,000","104,393"
388 ,"2,296,000","2,299,000","2,282,000","2,286,000","145,502"
389 ,"2,288,000","2,288,000","2,288,000","2,288,000","400,431"
390 ,"2,287,000","2,298,000","2,284,000","2,289,000","68,736"
391 ,"2,289,000","2,295,000","2,288,000","2,292,000","22,726"
392 ,"2,293,000","2,299,000","2,290,000","2,299,000","21,196"
393 ,"2,299,000","2,303,000","2,296,000","2,302,000","35,119"
394 ,"2,302,000","2,304,000","2,299,000","2,299,000","19,329"
395 ,"2,299,000","2,303,000","2,299,000","2,303,000","14,967"
396 ,"2,303,000","2,304,000","2,301,000","2,301,000","12,308"
397 ,"2,302,000","2,302,000","2,298,000","2,299,000","17,015"
398 ,"2,299,000","2,302,000","2,299,000","2,301,000","12,527"
399 ,"2,301,000","2,307,000","2,301,000","2,307,000","26,870"
400 ,"2,307,000","2,309,000","2,306,000","2,309,000","22,662"
401 ,"2,308,000","2,309,000","2,306,000","2,307,000","18,407"
402 ,"2,307,000","2,309,000","2,306,000","2,308,000","17,372"
403 ,"2,309,000","2,310,000","2,307,000","2,310,000","15,330"
404 ,"2,309,000","2,310,000","2,309,000","2,310,000","12,327"
405 ,"2,310,000","2,310,000","2,308,000","2,309,000","23,613"
406 ,"2,308,000","2,309,000","2,307,000","2,308,000","14,322"
407 ,"2,309,000","2,310,000","2,303,000","2,307,000","38,410"
408 ,"2,307,000","2,307,000","2,301,000","2,304,000","15,845"
409 ,"2,304,000","2,308,000","2,303,000","2,307,000","9,293"
