ts_event,open,high,low,close,volume
325 ,"30,521.25","30,545.00","30,519.25","30,543.25","10,183"
326 ,"30,543.25","30,546.00","30,519.50","30,524.25","10,331"
327 ,"30,524.75","30,533.75","30,512.25","30,528.50","11,913"
328 ,"30,528.00","30,532.00","30,519.50","30,523.75","6,781"
329 ,"30,524.50","30,539.75","30,517.50","30,529.25","11,814"
330 ,"30,529.00","30,537.50","30,498.75","30,531.75","16,883"
331 ,"30,531.00","30,535.75","30,523.25","30,525.25","7,434"
332 ,"30,525.50","30,543.25","30,519.50","30,542.00","8,834"
333 ,"30,542.00","30,548.50","30,531.00","30,531.25","9,053"
334 ,"30,531.50","30,538.00","30,528.25","30,533.75","6,034"
335 ,"30,534.00","30,537.50","30,522.50","30,530.25","7,942"
336 ,"30,529.50","30,539.50","30,527.00","30,530.50","5,459"
337 ,"30,529.75","30,558.00","30,528.25","30,554.25","11,361"
338 ,"30,554.00","30,567.50","30,544.75","30,566.25","10,983"
339 ,"30,566.25","30,575.50","30,539.75","30,547.25","13,318"
340 ,"30,547.00","30,562.00","30,546.00","30,553.75","8,899"
341 ,"30,554.00","30,571.25","30,552.50","30,564.75","9,236"
342 ,"30,564.50","30,582.50","30,551.75","30,578.75","14,239"
343 ,"30,579.00","30,594.00","30,572.00","30,591.25","15,454"
344 ,"30,591.50","30,600.00","30,576.25","30,580.25","14,317"
345 ,"30,580.00","30,589.00","30,574.25","30,577.50","10,495"
346 ,"30,577.50","30,584.50","30,567.25","30,575.50","10,181"
347 ,"30,575.50","30,583.25","30,565.75","30,569.75","11,400"
348 ,"30,569.25","30,572.75","30,548.50","30,561.50","15,000"
349 ,"30,561.00","30,580.75","30,559.50","30,577.75","14,645"
350 ,"30,578.00","30,590.25","30,562.00","30,565.75","14,222"
351 ,"30,565.50","30,594.75","30,540.00","30,571.75","25,560"
352 ,"30,573.00","30,592.50","30,510.50","30,521.25","39,470"
353 ,"30,521.75","30,537.75","30,504.50","30,531.75","18,462"
354 ,"30,532.00","30,543.75","30,521.75","30,533.25","6,968"
355 ,"30,533.25","30,533.75","30,501.75","30,506.50","8,507"
356 ,"30,506.00","30,513.50","30,495.25","30,503.00","5,840"
357 ,"30,502.50","30,508.00","30,494.00","30,505.25","3,643"
358 ,"30,505.25","30,507.75","30,501.50","30,504.00","1,591"
359 ,"30,504.25","30,511.75","30,498.75","30,501.25","2,528"
360 ,"30,500.75","30,502.00","30,491.50","30,495.50","2,160"
361 ,"30,495.00","30,497.75","30,491.75","30,496.50","1,548"
362 ,"30,496.00","30,497.00","30,488.50","30,491.25","1,988"
363 ,"30,491.00","30,495.00","30,484.25","30,491.25","2,043"
364 ,"30,491.00","30,502.25","30,486.75","30,501.00","1,750"
365 ,"30,502.50","30,526.25","30,492.00","30,513.50","6,439"
366 ,"30,513.75","30,529.00","30,513.50","30,520.50","3,322"
367 ,"30,520.50","30,521.50","30,499.00","30,516.00","3,078"
368 ,"30,515.00","30,535.75","30,514.25","30,530.00","3,172"
369 ,"30,530.00","30,535.50","30,526.25","30,529.50","1,918"
370 ,"30,529.50","30,535.00","30,525.75","30,532.50","1,498"
371 ,"30,532.25","30,533.00","30,512.25","30,515.75","3,163"
372 ,"30,515.00","30,520.25","30,507.00","30,515.50","2,630"
373 ,"30,515.50","30,520.75","30,514.00","30,516.00","1,287"
374 ,"30,515.75","30,516.75","30,503.00","30,512.25","2,574"
375 ,"30,512.25","30,512.75","30,498.00","30,502.25","2,206"
376 ,"30,502.50","30,514.25","30,501.00","30,510.50","2,026"
377 ,"30,510.50","30,528.25","30,509.25","30,518.75","3,446"
378 ,"30,518.75","30,541.25","30,516.00","30,535.00","3,456"
379 ,"30,534.50","30,535.25","30,518.25","30,522.50","1,859"
380 ,"30,523.50","30,535.50","30,517.50","30,529.50","1,916"
381 ,"30,529.75","30,535.25","30,525.50","30,532.00","1,221"
382 ,"30,531.25","30,540.00","30,522.75","30,525.50","2,051"
383 ,"30,526.00","30,543.00","30,521.50","30,541.50","1,906"
384 ,"30,541.00","30,542.50","30,525.00","30,536.50","2,738"
385 ,"30,536.50","30,540.00","30,526.50","30,528.50","2,550"
386 ,"30,528.75","30,543.50","30,522.00","30,534.50","3,664"
387 ,"30,535.00","30,537.75","30,518.25","30,520.50","3,258"
388 ,"30,521.25","30,538.25","30,515.75","30,533.00","2,917"
389 ,"30,533.00","30,555.75","30,521.25","30,534.50","8,927"
390 ,"30,535.00","30,541.25","30,507.75","30,529.50","7,001"
391 ,"30,531.50","30,545.50","30,523.00","30,528.00","4,897"
392 ,"30,528.00","30,540.00","30,518.50","30,520.25","3,548"
393 ,"30,519.75","30,532.25","30,508.75","30,515.75","5,031"
394 ,"30,515.75","30,541.25","30,506.50","30,536.25","5,184"
